广东荔枝,#genre#
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
肇庆综合,http://php.jdshipin.com:8880/chudian.php?id=zqzh
肇庆公共,http://php.jdshipin.com:8880/chudian.php?id=zqgg
清远综合,http://php.jdshipin.com:8880/chudian.php?id=qyzh
梅州综合,http://php.jdshipin.com:8880/chudian.php?id=mzzh
河源综合,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源公共,http://php.jdshipin.com:8880/chudian.php?id=hygg

央视频道,#genre#
CCTV1,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv1.m3u8
CCTV2,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv2.m3u8
CCTV3,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv3.m3u8
CCTV4,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv4.m3u8
CCTV5,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv5.m3u8
CCTV5+,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv5p.m3u8
CCTV6,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv6.m3u8
CCTV7,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv7.m3u8
CCTV8,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv8.m3u8
CCTV9,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv9.m3u8
CCTV10,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv10.m3u8
CCTV11,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv11.m3u8
CCTV12,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV13,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv13.m3u8
CCTV14,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV15,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV16,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv16.m3u8
CCTV17,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv17.m3u8
CCTV-4K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-8K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K36M/playlist.m3u8
CGTN英语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnen.m3u8
CGTN法语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnfr.m3u8
CGTN俄语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnru.m3u8
CGTN阿拉伯语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnar.m3u8
CGTN西班牙语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnsp.m3u8
CGTN纪录国际,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtndoc.m3u8

卫视频道,#genre#
安徽卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001037/index.m3u8
北京卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001029/index.m3u8
重庆卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001129/index.m3u8
东方卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001013/index.m3u8
东南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001201/index.m3u8
甘肃卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001298/index.m3u8
广东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001032/index.m3u8
广西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001224/index.m3u8
贵州卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001184/index.m3u8
海南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001183/index.m3u8
河北卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001229/index.m3u8
河南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001222/index.m3u8
湖北卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001027/index.m3u8
湖南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001026/index.m3u8
吉林卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001225/index.m3u8
江苏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001033/index.m3u8
江西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001034/index.m3u8
辽宁卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001035/index.m3u8
山东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001028/index.m3u8
四川卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001130/index.m3u8
深圳卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001030/index.m3u8
天津卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001036/index.m3u8
云南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001223/index.m3u8
浙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001023/index.m3u8
黑龙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001031/index.m3u8

港台地区,#genre#
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
